run_accession	title	sample type	age	type	rep
SRR3082987	C100	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082988	C101	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082989	C102	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082990	C103	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082991	C104	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082992	C105	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082993	C106	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082994	C107	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082995	C108	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082996	C109	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082997	C110	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3082998	C111	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3082999	C112	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083000	C113	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083001	C114	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083002	C115	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083003	C116	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083004	C117	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083005	C118	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083006	C119	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083007	C120	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083008	C121	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083009	C122	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083010	C123	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083011	C124	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083012	C125	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083013	C126	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083014	C127	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083015	C128	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083016	C129	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083017	C130	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083018	C131	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083019	C132	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083020	C133	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083021	C134	single cell	post natal week 3-4	CA1 cholecystokinin cell	
SRR3083022	C135	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083023	C136	single cell	post natal week 3-4	CA1 parvalbumin cell	
SRR3083024	C137	single cell	post natal week 3-4	CA1 pyramidal cell	
SRR3083025	C201	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083026	C202	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083027	C203	single cell	post natal week 3-4	Subiculum regular firing pyramidal cell	
SRR3083028	C204	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083029	C205	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083030	C207	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083031	C208	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083032	C209	single cell	post natal week 3-4	Subiculum regular firing pyramidal cell	
SRR3083033	C210	single cell	post natal week 3-4	Subiculum regular firing pyramidal cell	
SRR3083034	C211	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083035	C212	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083036	C213	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083037	C214	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083038	C215	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083039	C216	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083040	C217	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083041	C223	single cell	post natal week 3-4	Subiculum regular firing pyramidal cell	
SRR3083042	C224	single cell	post natal week 3-4	Subiculum burst firing pyramidal cell	
SRR3083043	C225	single cell	post natal week 3-4	Subiculum regular firing pyramidal cell	
